region(String),city(String),year(Integer),order_price(Integer),product_item(String),product_category(String),customer_age(Integer),purchase_method(String),payment_method(String)
NA,Las Vegas,2016,135,Aute,Electronics,64,Online,Check
NA,Las Vegas,2016,59,Dolore,Transport,31,Phone,Card
NA,Las Vegas,2016,88,Eiusmod,Food,47,In-store,Check
NA,Las Vegas,2016,39,Exercitation,Food,33,In-store,Check
NA,Las Vegas,2016,26,Ex,Food,15,In-store,Card
NA,Las Vegas,2016,77,Sit,Sport,64,Phone,Check
NA,Las Vegas,2016,86,Do,Tools,35,Online,Check
NA,Las Vegas,2016,14,Nostrud,Food,32,Phone,Check
NA,Las Vegas,2016,70,Consequat,Jewelry,54,Phone,Check
NA,Las Vegas,2016,113,Lorem,Transport,40,In-store,Check
NA,Las Vegas,2016,17,Occaecat,Sport,50,Phone,Card
NA,Las Vegas,2017,70,Aute,Transport,47,In-store,Cash
NA,Las Vegas,2017,14,Commodo,Fashion,24,Phone,Card
NA,Las Vegas,2017,108,Non,Tools,55,Online,Check
NA,Las Vegas,2017,83,Esse,Transport,25,Phone,Check
NA,Las Vegas,2017,91,Excepteur,Transport,31,Online,Card
NA,Las Vegas,2017,88,Cillum,Sport,23,Online,Card
NA,Las Vegas,2017,9,Cupidatat,Toys,43,In-store,Check
NA,Las Vegas,2018,40,Dolore,Sport,55,Online,Check
NA,Las Vegas,2018,5,Pariatur,Food,66,Online,Card
NA,Las Vegas,2018,108,Enim,Sport,35,In-store,Cash
NA,Las Vegas,2018,76,Commodo,Electronics,51,Online,Check
NA,Las Vegas,2018,87,Consequat,Jewelry,17,In-store,Card
NA,Las Vegas,2018,66,Ullamco,Tools,29,In-store,Card
NA,Las Vegas,2018,67,Sunt,Sport,41,Phone,Card
NA,Las Vegas,2018,49,Labore,Toys,27,In-store,Check
NA,Las Vegas,2018,84,Incididunt,Transport,38,Online,Check
NA,Las Vegas,2018,86,Elit,Food,24,In-store,Check
NA,Las Vegas,2019,127,Enim,Fashion,25,In-store,Check
NA,Las Vegas,2019,93,Adipisicing,Transport,46,Online,Card
NA,Las Vegas,2019,75,Deserunt,Fashion,57,Online,Check
NA,Las Vegas,2019,72,Tempor,Sport,49,Phone,Check
NA,Las Vegas,2019,96,Enim,Fashion,15,Phone,Card
NA,Las Vegas,2019,91,Quis,Sport,24,In-store,Check
NA,Las Vegas,2019,69,Elit,Toys,53,Online,Card
NA,Las Vegas,2019,131,Proident,Tools,44,In-store,Cash
NA,Las Vegas,2019,72,Adipisicing,Jewelry,44,Phone,Check
NA,Las Vegas,2019,54,Ipsum,Food,28,Phone,Check
NA,Miami,2016,30,Ipsum,Healthcare,38,In-store,Cash
NA,Miami,2016,134,Culpa,Toys,58,Online,Card
NA,Miami,2016,42,Fugiat,Food,37,In-store,Cash
NA,Miami,2016,118,Proident,Tools,50,In-store,Check
NA,Miami,2016,44,Duis,Sport,62,Online,Card
NA,Miami,2016,113,Eu,Fashion,24,Phone,Check
