ShipName(String),ShipAddress(String),ShipCity(String),ShipRegion(String),ShipPostalCode(String),ShipCountry(String),CustomerID(String),Customers.CompanyName(String),Address(String),City(String),Region(String),PostalCode(String),Country(String),Salesperson(String),OrderID(Integer),OrderDate(DateTime),RequiredDate(DateTime),ShippedDate(DateTime),Shippers.CompanyName(String),ProductID(Integer),ProductName(String),UnitPrice(Float),Quantity(Integer),Discount(Float),ExtendedPrice(Float),Freight(Float)
Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Michael Suyama,10643,9/25/1995 12:00:00 AM,10/23/1995 12:00:00 AM,10/3/1995 12:00:00 AM,Speedy Express,39,Chartreuse verte,18,21,0.25,283.5,29.46
Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Michael Suyama,10643,9/25/1995 12:00:00 AM,10/23/1995 12:00:00 AM,10/3/1995 12:00:00 AM,Speedy Express,46,Spegesild,12,2,0.25,18,29.46
Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Michael Suyama,10643,9/25/1995 12:00:00 AM,10/23/1995 12:00:00 AM,10/3/1995 12:00:00 AM,Speedy Express,28,Rössle Sauerkraut,45.6,15,0.25,513,29.46
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Margaret Peacock,10692,11/3/1995 12:00:00 AM,12/1/1995 12:00:00 AM,11/13/1995 12:00:00 AM,United Package,63,Vegie-spread,43.9,20,0,878,61.02
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Margaret Peacock,10702,11/13/1995 12:00:00 AM,12/25/1995 12:00:00 AM,11/21/1995 12:00:00 AM,Speedy Express,76,Lakkalikööri,18,15,0,270,23.94
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Margaret Peacock,10702,11/13/1995 12:00:00 AM,12/25/1995 12:00:00 AM,11/21/1995 12:00:00 AM,Speedy Express,3,Aniseed Syrup,10,6,0,60,23.94
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Nancy Davolio,10835,2/15/1996 12:00:00 AM,3/14/1996 12:00:00 AM,2/21/1996 12:00:00 AM,Federal Shipping,59,Raclette Courdavault,55,15,0,825,69.53
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Nancy Davolio,10835,2/15/1996 12:00:00 AM,3/14/1996 12:00:00 AM,2/21/1996 12:00:00 AM,Federal Shipping,77,Original Frankfurter grüne Soße,13,2,0.2,20.8,69.53
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Nancy Davolio,10952,4/15/1996 12:00:00 AM,5/27/1996 12:00:00 AM,4/23/1996 12:00:00 AM,Speedy Express,28,Rössle Sauerkraut,45.6,2,0,91.2,40.42
Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,Nancy Davolio,10952,4/15/1996 12:00:00 AM,5/27/1996 12:00:00 AM,4/23/1996 12:00:00 AM,Speedy Express,6,Grandma's Boysenberry Spread,25,16,0.05,380,40.42
