ID(String),carat(Float),logcarat(Float),cut(String),color(String),clarity(String),depth(Float),table(Integer),price(Integer),logprice(Float),x(Float),y(Float),z(Float),volume(Float)
20,0.3,-1.2,Very Good,J,SI1,62.7,59,351,5.86,4.21,4.27,2.66,47.818022
40,0.33,-1.11,Ideal,I,SI2,61.8,55,403,6,4.49,4.51,2.78,56.294722
60,0.3,-1.2,Good,I,SI1,63.2,55,405,6,4.25,4.29,2.7,49.22775
80,0.26,-1.35,Very Good,E,VVS1,62.6,59,554,6.32,4.06,4.09,2.55,42.34377
100,0.8,-0.22,Premium,H,SI1,61.5,58,2760,7.92,5.97,5.93,3.66,129.571686
120,0.8,-0.22,Ideal,F,SI2,59.9,59,2762,7.92,6.01,6.07,3.62,132.060134
140,0.64,-0.45,Ideal,G,VVS1,61.9,56,2766,7.93,5.53,5.56,3.43,105.461524
160,0.73,-0.31,Ideal,D,SI2,59.9,57,2770,7.93,5.92,5.89,3.54,123.435552
180,0.71,-0.34,Ideal,E,VS2,62.2,57,2776,7.93,5.79,5.62,3.55,115.51629
200,0.72,-0.33,Premium,F,SI1,61.8,61,2777,7.93,5.82,5.71,3.56,118.306632
220,0.53,-0.63,Very Good,D,VVS2,57.5,64,2782,7.93,5.34,5.37,3.08,88.321464
240,0.77,-0.26,Good,G,VS1,59.4,64,2788,7.93,5.97,5.92,3.53,124.758672
260,0.71,-0.34,Premium,F,VS1,60.1,62,2790,7.93,5.77,5.74,3.46,114.594508
280,0.72,-0.33,Good,F,VS1,60.7,60,2795,7.94,5.74,5.72,3.48,114.258144
300,0.8,-0.22,Very Good,H,VS2,63.4,60,2797,7.94,5.92,5.82,3.72,128.170368
320,0.71,-0.34,Premium,F,VS2,62.1,58,2801,7.94,5.7,5.67,3.53,114.08607
340,0.78,-0.25,Premium,G,VS2,60.8,58,2803,7.94,6.03,5.95,3.64,130.59774
360,0.74,-0.3,Fair,F,VS2,61.1,68,2805,7.94,5.82,5.75,3.53,118.13145
380,0.74,-0.3,Ideal,D,SI2,61.7,55,2810,7.94,5.81,5.85,3.6,122.3586
400,0.3,-1.2,Very Good,H,SI1,63.3,56,554,6.32,4.29,4.27,2.71,49.642593
420,0.26,-1.35,Ideal,E,VS1,61.5,57,556,6.32,4.09,4.12,2.52,42.464016
440,0.9,-0.11,Fair,J,VS2,65,56,2815,7.94,6.08,6.04,3.94,144.689408
460,0.71,-0.34,Premium,E,SI1,61.4,58,2817,7.94,5.77,5.73,3.53,116.709213
480,0.73,-0.31,Premium,E,VS2,61.6,59,2821,7.94,5.77,5.73,3.54,117.039834
500,0.9,-0.11,Good,J,VS2,64,61,2822,7.95,6.04,6.03,3.86,140.585832
520,0.82,-0.2,Ideal,F,SI2,62.4,54,2824,7.95,6.02,5.97,3.74,134.413356
540,0.7,-0.36,Ideal,H,VVS1,61.6,57,2827,7.95,5.69,5.74,3.52,114.965312
560,0.72,-0.33,Premium,E,SI1,62.1,58,2831,7.95,5.73,5.76,3.57,117.827136
580,0.78,-0.25,Ideal,I,VS2,61.8,55,2834,7.95,5.92,5.95,3.67,129.27208
600,0.7,-0.36,Premium,G,VS1,62.6,55,2838,7.95,5.73,5.64,3.56,115.049232
620,0.71,-0.34,Premium,F,VS1,62.7,59,2839,7.95,5.7,5.62,3.55,113.7207
640,0.8,-0.22,Ideal,I,VS1,62.6,54,2842,7.95,5.92,5.96,3.72,131.253504
660,1.27,0.24,Premium,H,SI2,59.3,61,2845,7.95,7.12,7.05,4.2,210.8232
680,0.7,-0.36,Very Good,E,VS2,61,60,2850,7.96,5.74,5.77,3.51,116.250498
700,0.78,-0.25,Very Good,H,VS1,61.9,57.1,2854,7.96,5.87,5.95,3.66,127.83099
720,1,0,Fair,I,SI1,67.9,62,2856,7.96,6.19,6.03,4.15,154.901655
740,0.33,-1.11,Premium,G,SI2,59.4,59,557,6.32,4.52,4.5,2.68,54.5112
760,0.81,-0.21,Very Good,F,SI1,61.3,57,2858,7.96,6.02,6.05,3.7,134.7577
780,0.71,-0.34,Very Good,F,VS2,61.3,61,2860,7.96,5.68,5.73,3.5,113.9124
800,0.7,-0.36,Premium,E,VS2,59.5,59,2862,7.96,5.82,5.77,3.45,115.85583
820,0.71,-0.34,Ideal,E,VS2,61,55,2863,7.96,5.79,5.75,3.52,117.1896
840,0.96,-0.04,Fair,F,SI2,68.2,61,2867,7.96,6.07,5.88,4.1,146.33556
